date,close,change,rsi,up,down
2015-05-06,2.29,0.01,32.98615932412747,0.0,0.0
2015-05-07,2.32,0.03,34.98524182992132,0.0,0.0
2015-05-08,2.31,-0.01,41.017785641565695,0.0,0.0
2015-05-11,2.32,0.01,39.61740764081476,0.0,0.0
2015-05-12,2.35,0.03,41.88494106788653,0.0,0.0
2015-05-13,2.37,0.02,48.5138974679557,0.0,0.0
2015-05-14,2.33,-0.04,52.630648535530774,0.0,0.0
2015-05-15,2.32,-0.01,44.498078847595856,0.0,0.0
2015-05-18,2.35,0.03,42.616597985228324,0.0,0.0
2015-05-19,2.28,-0.07,49.88208514601712,0.0,0.0
2015-05-20,2.32,0.04,37.29125903262111,0.0,0.0
2015-05-21,2.28,-0.04,46.165377060467314,0.0,0.0
2015-05-22,2.28,0.0,39.738493073301946,0.0,0.0
2015-05-26,2.22,-0.06,39.73849307330194,0.0,0.0
2015-05-27,2.28,0.06,31.222629396911813,0.0,0.0
2015-05-28,2.27,-0.01,44.75320674432101,0.0,0.0
2015-05-29,2.28,0.01,43.13676869025961,0.0,0.0
2015-06-01,2.25,-0.03,45.39096311072763,0.0,0.0
2015-06-02,2.3,0.05,39.959761500813215,0.0,0.0
2015-06-03,2.28,-0.02,51.103794324876326,0.0,0.0
2015-06-04,2.33,0.05,47.10678316985695,0.0,0.0
2015-06-05,2.33,0.0,56.76777576631943,0.0,0.0
2015-06-08,2.31,-0.02,56.76777576631943,0.0,0.0
2015-06-09,2.29,-0.02,51.8225675682205,0.0,0.0
2015-06-10,2.32,0.03,47.13037777917097,0.0,0.0
2015-06-11,2.32,0.0,54.234041752551065,0.0,0.0
2015-06-12,2.31,-0.01,54.234041752551065,0.0,0.0
2015-06-15,2.32,0.01,51.2368060900288,0.0,0.0
2015-06-16,2.35,0.03,54.13371244667884,0.0,0.0
2015-06-17,2.47,0.12,61.89505503373838,0.0,0.0
2015-06-18,2.52,0.05,78.5150211280027,0.0,0.0
2015-06-19,2.58,0.06,82.20995412912079,0.0,0.0
2015-06-22,2.62,0.04,85.60506864966727,0.0,0.0
2015-06-23,2.61,-0.01,87.4324480952122,0.0,0.0
2015-06-24,2.62,0.01,84.37224195210138,0.0,0.0
2015-06-25,2.58,-0.04,84.97332287663588,0.0,0.0
2015-06-26,2.47,-0.11,72.26679236092556,0.0,0.0
2015-06-29,2.34,-0.13,49.162126834111106,0.0,0.0
2015-06-30,2.4,0.06,34.335391739948804,0.0,0.0
2015-07-01,2.42,0.02,43.34763229894665,0.0,0.0
